employee_id,name,department,role,weekly_values,adjustments,deductions
E1000,Cameron Brown,Sales,Director,"[482.94, 494.21, 503.49, 503.9]",{},"{""tax"": 50.68, ""pension"": 15.51}"
E1001,Alex Williams,Finance,Engineer,"[1512.22, 1584.14, 1558.25, 1442.18]",{},"{""tax"": 158.09, ""pension"": 33.09}"
E1002,Robin Johnson,Engineering,Engineer,"[490.47, 509.38, 447.64, 527.78]",{},"{""tax"": 69.66, ""pension"": 23.25}"
E1003,Jordan Wilson,HR,Analyst,"[778.41, 817.72, 781.3, 780.23]",{},"{""tax"": 146.29, ""pension"": 23.46}"
E1004,Riley Davis,Support,Analyst,"[428.31, 400.73, 410.2, 449.19]",{},"{""tax"": 58.37, ""pension"": 9.11}"
E1005,Chris Williams,Support,Engineer,"[2653.44, 2530.93, 2411.12, 2847.09]",{},"{""tax"": 305.49, ""pension"": 85.14}"
E1006,Casey Johnson,Finance,Analyst,"[955.36, 934.57, 1017.58, 890.43]",{},"{""tax"": 113.01, ""pension"": 35.37}"
E1007,Avery Davis,Support,Engineer,"[3125.73, 2850.18, 3067.57, 2841.59]",{},"{""tax"": 412.26, ""pension"": 68.17}"
E1008,Alex Rodriguez,HR,Clerk,"[1285.12, 1113.29, 1164.97, 1302.46]",{},"{""tax"": 201.83, ""pension"": 46.7}"
E1009,Avery Miller,Sales,Director,"[2198.02, 2183.45, 2194.62, 2281.96]",{},"{""tax"": 278.95, ""pension"": 80.45}"
E1010,Drew Miller,HR,Director,"[1634.11, 1711.86, 1830.13, 1715.68]",{},"{""tax"": 328.69, ""pension"": 46.52}"
E1011,Jamie Jones,HR,Clerk,"[977.69, 1003.49, 956.14, 942.12]",{},"{""tax"": 187.77, ""pension"": 29.08}"
E1012,Riley Miller,Engineering,Manager,"[2043.66, 1768.51, 1720.27, 1979.01]",{},"{""tax"": 273.01, ""pension"": 72.25}"
E1013,Robin Davis,Sales,Director,"[1750.86, 1626.88, 1731.92, 1872.48]",{},"{""tax"": 170.0, ""pension"": 66.11}"
E1014,Jordan Johnson,Finance,Clerk,"[1930.56, 1751.51, 1891.18, 1851.65]",{},"{""tax"": 253.12, ""pension"": 41.6}"
E1015,Taylor Garcia,Support,Analyst,"[2611.02, 2727.83, 2717.12, 2738.5]",{},"{""tax"": 420.59, ""pension"": 103.02}"
E1016,Pat Davis,Support,Engineer,"[2286.57, 2264.61, 2338.7, 2295.86]",{},"{""tax"": 242.73, ""pension"": 107.42}"
E1017,Drew Smith,Sales,Analyst,"[2768.09, 2532.33, 2648.1, 2705.26]",{},"{""tax"": 440.93, ""pension"": 65.11}"
E1018,Pat Johnson,Support,Director,"[1142.0, 1263.06, 1053.43, 1053.78]",{},"{""tax"": 167.04, ""pension"": 27.16}"
E1019,Robin Miller,HR,Director,"[1093.94, 1052.22, 1114.82, 1153.11]",{},"{""tax"": 170.48, ""pension"": 34.69}"
E1020,Cameron Williams,HR,Manager,"[868.14, 818.61, 936.88, 888.1]",{},"{""tax"": 101.52, ""pension"": 20.38}"
E1021,Casey Jones,Finance,Clerk,"[2427.46, 2196.74, 2428.54, 2076.43]",{},"{""tax"": 449.74, ""pension"": 77.64}"
E1022,Morgan Garcia,HR,Engineer,"[690.67, 752.61, 789.14, 774.21]",{},"{""tax"": 123.12, ""pension"": 33.66}"
E1023,Morgan Wilson,Sales,Director,"[1597.83, 1794.94, 1624.69, 1821.14]",{},"{""tax"": 242.26, ""pension"": 56.36}"
E1024,Jordan Rodriguez,Sales,Analyst,"[2554.57, 2497.9, 2479.69, 2642.0]",{},"{""tax"": 342.84, ""pension"": 81.84}"
E1025,Cameron Miller,Support,Manager,"[962.08, 825.7, 914.03, 899.22]",{},"{""tax"": 122.8, ""pension"": 39.27}"
E1026,Robin Wilson,Support,Manager,"[911.44, 936.49, 958.08, 978.54]",{},"{""tax"": 169.02, ""pension"": 20.93}"
E1027,Jamie Jones,Finance,Engineer,"[751.15, 752.44, 793.35, 697.43]","{""bonus"": 321.38}","{""tax"": 113.98, ""pension"": 34.76}"
E1028,Jamie Garcia,Support,Clerk,"[1874.49, 1957.78, 1872.63, 1980.9]",{},"{""tax"": 368.77, ""pension"": 77.92}"
E1029,Drew Rodriguez,Engineering,Director,"[1737.18, 1920.56, 1915.13, 1851.99]",{},"{""tax"": 343.38, ""pension"": 69.7}"
E1030,Jamie Davis,Finance,Engineer,"[1036.19, 1104.44, 1034.95, 1011.01]",{},"{""tax"": 152.89, ""pension"": 48.15}"
E1031,Robin Brown,HR,Director,"[671.42, 671.55, 674.81, 619.08]",{},"{""tax"": 130.46, ""pension"": 27.81}"
E1032,Morgan Johnson,Sales,Director,"[961.28, 877.25, 844.87, 891.29]",{},"{""tax"": 106.5, ""pension"": 39.48}"
E1033,Riley Wilson,Support,Clerk,"[2761.68, 2919.2, 2751.78, 2629.71]",{},"{""tax"": 465.09, ""pension"": 135.05}"
E1034,Jordan Jones,Support,Analyst,"[2517.95, 3032.09, 3015.52, 2967.85]","{""bonus"": 165.71}","{""tax"": 552.7, ""pension"": 128.64}"
E1035,Avery Davis,Support,Engineer,"[2104.97, 2254.72, 2192.67, 2290.53]",{},"{""tax"": 296.52, ""pension"": 70.4}"
E1036,Drew Williams,HR,Engineer,"[1838.71, 1714.54, 1760.12, 1543.47]",{},"{""tax"": 347.58, ""pension"": 53.83}"
E1037,Taylor Garcia,HR,Manager,"[2737.18, 1954.46, 2748.91, 2816.31]",{},"{""tax"": 462.03, ""pension"": 65.92}"
E1038,Casey Jones,Engineering,Clerk,"[2583.81, 2591.49, 2556.88, 2498.19]",{},"{""tax"": 329.56, ""pension"": 90.2}"
E1039,Robin Garcia,Sales,Analyst,"[2302.39, 2428.11, 2323.07, 2181.93]",{},"{""tax"": 240.89, ""pension"": 99.46}"
E1040,Chris Wilson,Support,Director,"[1693.83, 1068.14, 1173.22, 1124.72]",{},"{""tax"": 162.31, ""pension"": 25.75}"
E1041,Sam Wilson,Sales,Clerk,"[2356.71, 2529.62, 2500.5, 2535.25]",{},"{""tax"": 463.72, ""pension"": 125.11}"
E1042,Chris Jones,Engineering,Engineer,"[965.36, 988.98, 968.65, 1064.32]",{},"{""tax"": 168.73, ""pension"": 30.34}"
E1043,Alex Rodriguez,Sales,Director,"[2712.91, 2645.86, 2741.62, 2785.28]",{},"{""tax"": 465.59, ""pension"": 112.32}"
E1044,Riley Garcia,Finance,Analyst,"[1722.55, 1584.21, 1717.24, 1592.7]",{},"{""tax"": 212.11, ""pension"": 82.08}"
E1045,Pat Wilson,Engineering,Manager,"[2252.94, 2326.86, 2152.57, 2130.84]","{""bonus"": 229.62}","{""tax"": 419.24, ""pension"": 62.72}"
E1046,Sam Wilson,Finance,Director,"[2699.23, 2427.57, 2015.72, 2590.01]","{""bonus"": 262.46}","{""tax"": 497.04, ""pension"": 120.04}"
E1047,Casey Smith,Finance,Director,"[241.93, 802.31, 789.18, 835.25]",{},"{""tax"": 156.38, ""pension"": 33.76}"
E1048,Taylor Williams,Sales,Director,"[1007.84, 930.5, 982.52, 993.14]",{},"{""tax"": 160.52, ""pension"": 44.44}"
E1049,Sam Jones,HR,Engineer,"[668.4, 732.08, 722.75, 786.38]",{},"{""tax"": 106.02, ""pension"": 25.07}"
E1050,Cameron Smith,Engineering,Engineer,"[832.85, 891.69, 830.21, 927.52]",{},"{""tax"": 147.04, ""pension"": 27.34}"
E1051,Casey Williams,Engineering,Manager,"[3114.12, 3047.1, 2680.32, 2912.76]","{""bonus"": 249.22}","{""tax"": 357.07, ""pension"": 98.76}"
E1052,Taylor Davis,Finance,Analyst,"[554.66, 560.49, 517.25, 562.99]",{},"{""tax"": 66.53, ""pension"": 18.68}"
E1053,Jordan Johnson,Sales,Director,"[2045.31, 2192.48, 2108.02, 2087.79]",{},"{""tax"": 344.07, ""pension"": 101.92}"
E1054,Sam Miller,Engineering,Engineer,"[2016.32, 2031.69, 1890.76, 1996.06]",{},"{""tax"": 272.39, ""pension"": 70.75}"
E1055,Jordan Smith,Finance,Engineer,"[2148.18, 2022.95, 2168.27, 2066.88]",{},"{""tax"": 395.4, ""pension"": 69.33}"
